,id,cloud_cover,source,aoi_code,percentage_valid_pixels,geometry
21,2021-08-22,10.8,landsat,AOI03,0.0,"POLYGON ((147.69960316085718 -32.24460560526437, 147.9096031608572 -32.24460560526437, 147.9096031608572 -32.03460560526437, 147.69960316085718 -32.03460560526437, 147.69960316085718 -32.24460560526437))"
22,2021-08-13,2.36,landsat,AOI03,1.0,"POLYGON ((147.69960316085718 -32.24460560526437, 147.9096031608572 -32.24460560526437, 147.9096031608572 -32.03460560526437, 147.69960316085718 -32.03460560526437, 147.69960316085718 -32.24460560526437))"
23,2021-08-29,56.97,landsat,AOI03,1.0,"POLYGON ((147.69960316085718 -32.24460560526437, 147.9096031608572 -32.24460560526437, 147.9096031608572 -32.03460560526437, 147.69960316085718 -32.03460560526437, 147.69960316085718 -32.24460560526437))"
24,2021-08-06,54.69,landsat,AOI03,1.0,"POLYGON ((147.89960316085717 -32.644605605264374, 148.10960316085718 -32.644605605264374, 148.10960316085718 -32.43460560526437, 147.89960316085717 -32.43460560526437, 147.89960316085717 -32.644605605264374))"
25,2021-08-22,10.8,landsat,AOI03,1.0,"POLYGON ((147.89960316085717 -32.644605605264374, 148.10960316085718 -32.644605605264374, 148.10960316085718 -32.43460560526437, 147.89960316085717 -32.43460560526437, 147.89960316085717 -32.644605605264374))"
26,2021-08-13,2.36,landsat,AOI03,1.0,"POLYGON ((147.89960316085717 -32.644605605264374, 148.10960316085718 -32.644605605264374, 148.10960316085718 -32.43460560526437, 147.89960316085717 -32.43460560526437, 147.89960316085717 -32.644605605264374))"
27,2021-08-29,56.97,landsat,AOI03,1.0,"POLYGON ((147.89960316085717 -32.644605605264374, 148.10960316085718 -32.644605605264374, 148.10960316085718 -32.43460560526437, 147.89960316085717 -32.43460560526437, 147.89960316085717 -32.644605605264374))"
28,2021-08-06,54.69,landsat,AOI0316,0.9908227972219834,"POLYGON ((147.89960316085717 -32.44460560526437, 148.10960316085718 -32.44460560526437, 148.10960316085718 -32.23460560526437, 147.89960316085717 -32.23460560526437, 147.89960316085717 -32.44460560526437))"
29,2021-08-22,10.8,landsat,AOI0316,0.9895300070467699,"POLYGON ((147.89960316085717 -32.44460560526437, 148.10960316085718 -32.44460560526437, 148.10960316085718 -32.23460560526437, 147.89960316085717 -32.23460560526437, 147.89960316085717 -32.44460560526437))"
30,2021-08-13,2.36,landsat,AOI0316,1.0,"POLYGON ((147.89960316085717 -32.44460560526437, 148.10960316085718 -32.44460560526437, 148.10960316085718 -32.23460560526437, 147.89960316085717 -32.23460560526437, 147.89960316085717 -32.44460560526437))"
31,2021-08-29,56.97,landsat,AOI0316,1.0,"POLYGON ((147.89960316085717 -32.44460560526437, 148.10960316085718 -32.44460560526437, 148.10960316085718 -32.23460560526437, 147.89960316085717 -32.23460560526437, 147.89960316085717 -32.44460560526437))"
32,2021-08-06,54.69,landsat,AOI0317,0.7998113131808278,"POLYGON ((147.89960316085717 -32.24460560526437, 148.10960316085718 -32.24460560526437, 148.10960316085718 -32.03460560526437, 147.89960316085717 -32.03460560526437, 147.89960316085717 -32.24460560526437))"
33,2021-08-22,10.8,landsat,AOI0317,0.7949012707162757,"POLYGON ((147.89960316085717 -32.24460560526437, 148.10960316085718 -32.24460560526437, 148.10960316085718 -32.03460560526437, 147.89960316085717 -32.03460560526437, 147.89960316085717 -32.24460560526437))"
34,2021-08-13,2.36,landsat,AOI0317,1.0,"POLYGON ((147.89960316085717 -32.24460560526437, 148.10960316085718 -32.24460560526437, 148.10960316085718 -32.03460560526437, 147.89960316085717 -32.03460560526437, 147.89960316085717 -32.24460560526437))"
35,2021-08-29,56.97,landsat,AOI0317,1.0,"POLYGON ((147.89960316085717 -32.24460560526437, 148.10960316085718 -32.24460560526437, 148.10960316085718 -32.03460560526437, 147.89960316085717 -32.03460560526437, 147.89960316085717 -32.24460560526437))"
36,2021-08-06,88.71,landsat,AOI0342,1.0,"POLYGON ((148.09960316085716 -32.84460560526438, 148.30960316085716 -32.84460560526438, 148.30960316085716 -32.634605605264376, 148.09960316085716 -32.634605605264376, 148.09960316085716 -32.84460560526438))"
37,2021-08-22,33.7,landsat,AOI0342,1.0,"POLYGON ((148.09960316085716 -32.84460560526438, 148.30960316085716 -32.84460560526438, 148.30960316085716 -32.634605605264376, 148.09960316085716 -32.634605605264376, 148.09960316085716 -32.84460560526438))"
38,2021-08-13,2.36,landsat,AOI0342,0.9032720190729233,"POLYGON ((148.09960316085716 -32.84460560526438, 148.30960316085716 -32.84460560526438, 148.30960316085716 -32.634605605264376, 148.09960316085716 -32.634605605264376, 148.09960316085716 -32.84460560526438))"
